model,metrics,values
Tuned single Tree_rSub,test_roc_auc,0.7349499374217772
Tuned single Tree_rSub,test_roc_auc,0.6897058823529412
Tuned single Tree_rSub,test_roc_auc,0.7155663329161452
Tuned single Tree_rSub,test_roc_auc,0.7218612680477088
Tuned single Tree_rSub,test_roc_auc,0.7072033898305085
Tuned single Tree_rSub,test_roc_auc,0.7634965473948524
Tuned single Tree_rSub,test_roc_auc,0.7260357815442561
Bagged tuned single Tree_rSub,test_roc_auc,0.7412761714855434
Bagged tuned single Tree_rSub,test_roc_auc,0.7051190179461615
Bagged tuned single Tree_rSub,test_roc_auc,0.7521589486858574
Bagged tuned single Tree_rSub,test_roc_auc,0.7437108886107634
Bagged tuned single Tree_rSub,test_roc_auc,0.7177252816020024
Bagged tuned single Tree_rSub,test_roc_auc,0.7401595744680851
Bagged tuned single Tree_rSub,test_roc_auc,0.7409761456371625
Bagged tuned single Tree_rSub,test_roc_auc,0.7222693032015066
Bagged tuned single Tree_rSub,test_roc_auc,0.7929849340866291
Bagged tuned single Tree_rSub,test_roc_auc,0.7530445699937225
Tuned random forest_rSub,test_roc_auc,0.7419771934197408
Tuned random forest_rSub,test_roc_auc,0.7047607178464605
Tuned random forest_rSub,test_roc_auc,0.7641113892365456
Tuned random forest_rSub,test_roc_auc,0.738642052565707
Tuned random forest_rSub,test_roc_auc,0.7079630788485607
Tuned random forest_rSub,test_roc_auc,0.7286921151439298
Tuned random forest_rSub,test_roc_auc,0.7524325172630258
Tuned random forest_rSub,test_roc_auc,0.7200721908349026
Tuned random forest_rSub,test_roc_auc,0.781497175141243
Tuned random forest_rSub,test_roc_auc,0.752306967984934
Tuned XGB_rSub,test_roc_auc,0.7352162263210369
Tuned XGB_rSub,test_roc_auc,0.7143569292123628
Tuned XGB_rSub,test_roc_auc,0.7533635794743428
Tuned XGB_rSub,test_roc_auc,0.742866082603254
Tuned XGB_rSub,test_roc_auc,0.723685857321652
Tuned XGB_rSub,test_roc_auc,0.7398936170212767
Tuned XGB_rSub,test_roc_auc,0.7412429378531074
Tuned XGB_rSub,test_roc_auc,0.7161644695543001
Tuned XGB_rSub,test_roc_auc,0.7932360326428123
Tuned XGB_rSub,test_roc_auc,0.7536723163841808
Vanilla Logistic Regression_rSub,test_log_loss,0.5799876281048072
Vanilla Logistic Regression_rSub,test_log_loss,0.6040815342827406
Vanilla Logistic Regression_rSub,test_log_loss,0.6016533915814982
Vanilla Logistic Regression_rSub,test_log_loss,0.6088498025230175
Vanilla Logistic Regression_rSub,test_log_loss,0.5863309120019303
Vanilla Logistic Regression_rSub,test_log_loss,0.6358081258893464
Vanilla Logistic Regression_rSub,test_log_loss,0.663708691614713
Vanilla Logistic Regression_rSub,test_log_loss,0.5999545825574514
Vanilla Logistic Regression_rSub,test_log_loss,0.5986415373574443
Vanilla Logistic Regression_rSub,test_log_loss,0.5927397985538803
Vanilla single Tree_rSub,test_log_loss,0.6092206702637949
Vanilla single Tree_rSub,test_log_loss,0.6223740181337266
Vanilla single Tree_rSub,test_log_loss,0.5937555409018347
Vanilla single Tree_rSub,test_log_loss,0.6371370243985504
Vanilla single Tree_rSub,test_log_loss,0.588165464761276
Vanilla single Tree_rSub,test_log_loss,0.6071449907887124
Vanilla single Tree_rSub,test_log_loss,0.6760719708053419
Vanilla single Tree_rSub,test_log_loss,0.5957830677293169
Vanilla single Tree_rSub,test_log_loss,0.618971421122433
Vanilla single Tree_rSub,test_log_loss,0.648633967356219
Vanilla random forest_rSub,test_log_loss,1.1647046971466635
Vanilla random forest_rSub,test_log_loss,0.8755873782396635
Vanilla random forest_rSub,test_log_loss,0.9487436410955167
Vanilla random forest_rSub,test_log_loss,1.2002775251328843
Vanilla random forest_rSub,test_log_loss,1.2613959842023974
Vanilla random forest_rSub,test_log_loss,1.329990404097176
Vanilla random forest_rSub,test_log_loss,1.4370653729996967
Vanilla random forest_rSub,test_log_loss,0.7980375098573639
Vanilla random forest_rSub,test_log_loss,1.3002140672366254
Vanilla random forest_rSub,test_log_loss,1.2499421615495863
Tuned Logistic Regression_rSub,test_log_loss,0.6270534571617635
Tuned Logistic Regression_rSub,test_log_loss,0.6239511876190741
Tuned Logistic Regression_rSub,test_log_loss,0.620620175137295
Tuned Logistic Regression_rSub,test_log_loss,0.5991674446776977
Tuned Logistic Regression_rSub,test_log_loss,0.6181116020222422
Tuned Logistic Regression_rSub,test_log_loss,0.6226329151211595
Tuned Logistic Regression_rSub,test_log_loss,0.6237077967003078
Tuned Logistic Regression_rSub,test_log_loss,0.6324588554383442
Tuned Logistic Regression_rSub,test_log_loss,0.5720170194063817
Tuned Logistic Regression_rSub,test_log_loss,0.6031523714628898
Tuned single Tree_rSub,test_log_loss,0.601724385169875
Tuned single Tree_rSub,test_log_loss,0.647664815001336
Tuned single Tree_rSub,test_log_loss,0.6133611214202321
Tuned single Tree_rSub,test_log_loss,0.5969703292194208
Tuned single Tree_rSub,test_log_loss,0.6375482377744208
Tuned single Tree_rSub,test_log_loss,0.6189156689967206
Tuned single Tree_rSub,test_log_loss,0.6070073900939557
Tuned single Tree_rSub,test_log_loss,0.6152093747928272
Tuned single Tree_rSub,test_log_loss,0.5816875132446356
Tuned single Tree_rSub,test_log_loss,0.6091739874650518
Bagged tuned single Tree_rSub,test_log_loss,0.6099841045027701
Bagged tuned single Tree_rSub,test_log_loss,0.6288313560058316
Bagged tuned single Tree_rSub,test_log_loss,0.6026205236836852
Bagged tuned single Tree_rSub,test_log_loss,0.6014108247720734
Bagged tuned single Tree_rSub,test_log_loss,0.6142351382313949
Bagged tuned single Tree_rSub,test_log_loss,0.6053746161500912
Bagged tuned single Tree_rSub,test_log_loss,0.6005697227035708
Bagged tuned single Tree_rSub,test_log_loss,0.6147640611680588
Bagged tuned single Tree_rSub,test_log_loss,0.5846230071453107
Bagged tuned single Tree_rSub,test_log_loss,0.5980696022648271
Tuned random forest_rSub,test_log_loss,0.6088577797703074
Tuned random forest_rSub,test_log_loss,0.6321911614958688
Tuned random forest_rSub,test_log_loss,0.5861198342374404
Tuned random forest_rSub,test_log_loss,0.5989536748054362
Tuned random forest_rSub,test_log_loss,0.6248671795327279
Tuned random forest_rSub,test_log_loss,0.6196505259425695
Tuned random forest_rSub,test_log_loss,0.5854723972031898
Tuned random forest_rSub,test_log_loss,0.6142518544870509
Tuned random forest_rSub,test_log_loss,0.5689580898010751
Tuned random forest_rSub,test_log_loss,0.5860968751551912
Tuned XGB_rSub,test_log_loss,0.61740657651136
Tuned XGB_rSub,test_log_loss,0.6199927394108106
Tuned XGB_rSub,test_log_loss,0.593284675013023
Tuned XGB_rSub,test_log_loss,0.5902410791810311
Tuned XGB_rSub,test_log_loss,0.6052566464699182
Tuned XGB_rSub,test_log_loss,0.6025634023217821
Tuned XGB_rSub,test_log_loss,0.592580024002376
Tuned XGB_rSub,test_log_loss,0.6158992228803609
Tuned XGB_rSub,test_log_loss,0.562869265032907
